case名称,测试命令（必填）,输入设备（1代表设备1，2代表设备2以此类推，不填默认为设备1）,期望结果（选填）,超时时间(s)
reboot,reboot,1,motion_detect core process,120
motion_detect_stop,ap_cmd motion_detect stop,1,motion_detect stopped,60
motion_detect_start_mp,ap_cmd motion_detect start_mp,1,motion_detect core process,120
motion_detect_stop_mp,ap_cmd motion_detect stop,1,motion_detect stopped,60
