Device,Reg,Bit
SYS,0x4,16
MCHECK,0x4,17
QSPI0,0x4,18
QSPI1,0x4,19
SDIO,0x4,20
SDIO,0x4,21
PSRAM,0x4,22
PSRAM,0x4,23
ENET,0x4,24
USB,0x4,25
USB,0x4,26
DMA1,0x4,27
HSPL,0x4,28
APB_WDT,0x5,8
UART5,0x5,9
TIMER4,0x5,10
TIMER5,0x5,11
NPU,0x6,1
ISP,0x6,5
H264,0x6,9
VIDP,0x6,13
USBTCM,0x6,17
