Device,Reg,Bit
SYS,0x4,0
MCHECK,0x4,1
QSPI0,0x4,2
QSPI1,0x4,3
SDIO,0x4,4
SDIO,0x4,5
PSRAM,0x4,6
PSRAM,0x4,7
ENET,0x4,8
USB,0x4,9
USB,0x4,10
DMA1,0x4,11
HSPL,0x4,12
APB_WDT,0x5,0
UART5,0x5,1
TIMER4,0x5,2
TIMER5,0x5,3
NPU,0x6,0
ISP,0x6,4
H264,0x6,8
VIDP,0x6,12
USBTCM,0x6,16
CPU0_WWDT,0x6,20
CPU1_WWDT,0x6,21
CORESIGHT,0x6,22
ENET_M,0x7,0
USB_M,0x7,1
SDIO_M,0x7,2
SDIO_M,0x7,3
ISP_M,0x7,4
H264_M,0x7,5
VIDP_M,0x7,6
NPU_M,0x7,7
CPU0_M,0x7,8
CPU1_M,0x7,9
