case名称,测试命令（必填）,输入设备（1代表设备1，2代表设备2以此类推，不填默认为设备1）,期望结果（选填）,超时时间(s)
reboot,reboot,1,m55 running,120
isp_open_mp,ap_cmd isp open mp 1280 720 25 1280 720 frame,1,isp display pipeline started,90
isp_close_mp,ap_cmd isp close mp,1,CMDRSP:OK,60
