case名称,测试命令（必填）,输入设备（1代表设备1，2代表设备2以此类推，不填默认为设备1）,期望结果（选填）,超时时间(s)
reboot,reboot,1,dm_ble_gatt_client demo init success,60
dm_ble_gatt_client_help,ap_cmd dm_ble_gatt_client -h,1,CMDRSP:OK,10
